id,pref_code,pref,occurred_at,species,species_label,category,category_raw,count,municipality,place,lat,lon,note,source_id,source_page,license,attribution
akita-kumadas:24129,05,秋田県,2026-04-30T06:00:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,秋田市,〒010-1633 秋田県秋田市新屋鳥木町１－１７２,39.67973285,140.0920933,【投稿】散歩中に遭遇。恐らく、派手なコーンを不思議そうに近付いて見ていました。その後、走って奥に行きました。,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:25145,05,秋田県,2026-04-30T07:52:00,inoshishi,イノシシ,sighting,目撃,2,仙北市,〒014-1204 秋田県仙北市田沢湖田沢見附田,39.76514476,140.690457,【投稿】耕作されていない畑,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24133,05,秋田県,2026-04-30T09:40:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,潟上市,〒010-0201 秋田県潟上市天王下浜山１６８－４,39.84220364,140.0189602,0940頃天王字下浜山の県道で1.5mのクマ1頭目撃情報がありました。立ち去り方向不明,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24134,05,秋田県,2026-04-30T09:50:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,秋田市,〒010-1351 秋田県秋田市雄和碇田梵天野８０,39.52486777,140.2336017,1.0ｍくらいのクマが南西方向に立ち去った,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24136,05,秋田県,2026-04-30T10:00:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,秋田市,〒010-1351 秋田県秋田市雄和碇田梵天野９２－１,39.52337854,140.2334762,川を挟んで向こう岸に座っていた近くの民家までは30mほど,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24142,05,秋田県,2026-04-30T12:29:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,潟上市,〒010-0201 秋田県潟上市天王上出戸１７－１,39.84293797,140.0219371,1.5mのクマ1頭。ファミリーマートから出戸浜方向へ移動,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24143,05,秋田県,2026-04-30T14:30:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,秋田市,秋田市雄和椿川字山籠,39.61789879,140.218935,秋田空港の北側のフェンス外側にいる熊1頭を目撃（体長約1～1.2ｍ）。爆竹使用により山側（県立中央公園側）に逃げた。,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24150,05,秋田県,2026-04-30T14:40:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,三種町,〒018-2407 秋田県山本郡三種町浜田中台 メロンロード,40.11998224,139.9767768,【投稿】道路上を歩いていて、畑の中に走って逃げていった。かなり大きい個体。,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24145,05,秋田県,2026-04-30T15:00:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,三種町,〒018-2407 秋田県山本郡三種町浜田大森,40.11545069,139.9713564,体長不明,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
akita-kumadas:24144,05,秋田県,2026-04-30T15:20:00,tsukinowaguma,ツキノワグマ,sighting,目撃,1,秋田市,〒011-0911 秋田県秋田市飯島古道下川端２１９付近,39.77219008,140.0420588,道路を東から西に横切るクマを目撃。体長1m。付近の建物から100m。,akita-kumadas,https://opendata.pref.akita.lg.jp/,CC-BY-4.0,秋田県
